2024-06-11 11:57:50,678 INFO:Connecting to 149.154.167.51:443/TcpFull...
2024-06-11 11:57:52,144 INFO:Connection to 149.154.167.51:443/TcpFull complete!
2024-06-11 12:01:49,427 INFO:Connecting to 149.154.167.51:443/TcpFull...
2024-06-11 12:01:49,533 INFO:Connection to 149.154.167.51:443/TcpFull complete!
2024-06-11 12:02:03,420 INFO:Phone migrated to 4
2024-06-11 12:02:03,737 INFO:Reconnecting to new data center 4
2024-06-11 12:02:04,073 INFO:Disconnecting from 149.154.167.51:443/TcpFull...
2024-06-11 12:02:04,074 INFO:Disconnection from 149.154.167.51:443/TcpFull complete!
2024-06-11 12:02:04,075 INFO:Connecting to 149.154.167.91:443/TcpFull...
2024-06-11 12:02:05,629 INFO:Connection to 149.154.167.91:443/TcpFull complete!
2024-06-11 12:02:54,005 INFO:Successfully connected to Telegram for channel: https://t.me/DoctorsET
2024-06-11 12:02:54,689 INFO:Successfully scraped and saved data for channel: https://t.me/DoctorsET
2024-06-11 12:02:54,800 INFO:Successfully connected to Telegram for channel: https://t.me/lobelia4cosmetics
2024-06-11 12:02:55,250 INFO:Successfully scraped and saved data for channel: https://t.me/lobelia4cosmetics
2024-06-11 12:02:55,367 INFO:Successfully connected to Telegram for channel: https://t.me/yetenaweg
2024-06-11 12:02:56,051 INFO:Successfully scraped and saved data for channel: https://t.me/yetenaweg
2024-06-11 12:02:56,182 INFO:Successfully connected to Telegram for channel: https://t.me/EAHCI
2024-06-11 12:02:56,881 INFO:Successfully scraped and saved data for channel: https://t.me/EAHCI
2024-06-11 12:02:56,991 INFO:Successfully connected to Telegram for channel: https://et.tgstat.com/medicine
2024-06-11 12:02:56,991 ERROR:Error scraping channel https://et.tgstat.com/medicine: Cannot find any entity corresponding to "https://et.tgstat.com/medicine"
2024-06-11 12:02:57,142 INFO:Successfully connected to Telegram for channel: https://t.me/Chemed
2024-06-11 12:02:57,388 INFO:Successfully scraped and saved data for channel: https://t.me/Chemed
2024-06-11 12:02:57,501 INFO:Successfully connected to Telegram for channel: https://t.me/lobelia4cosmetics
2024-06-11 12:02:57,862 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:02:58,939 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:02:59,287 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:02:59,962 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:01,250 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:02,516 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:03,122 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:04,088 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:04,348 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:04,884 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:05,098 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:05,490 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:06,510 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:07,251 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:07,726 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:08,596 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:09,651 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:09,891 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:10,180 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:10,652 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:11,262 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:11,587 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:11,948 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:12,495 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:13,129 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:13,499 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:14,715 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:15,511 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:16,416 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:16,826 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:17,852 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:18,490 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2024-06-11 12:03:19,117 INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
